Rank,University,Size,M10,G10,P10,C40,C60,C80,USN,Scholar,ID
0, LIUPost,3, NaN, NaN, NaN,0,0,0,1.2, NaN,40
1, StanfordUniversity,64,661,667,0.9,54,49,43,5,5,75
1, UniversityofCaliforniaBerkeley,80,543,488,0.82,58,48,34,5,5,92
3, CarnegieMellonUniversity,170,267,248,0.7,102,76,40,5,4.9,11
4, CornellUniversity,102,317,343,0.77,59,50,30,4.5,4.7,19
4, MassachusettsInstituteofTechnology,110,317,330,0.74,66,54,36,5,4.7,44
6, PrincetonUniversity,47,439,376,0.8,29,26,18,4.4,4.4,69
6, UniversityofCaliforniaSanDiego,63,311,312,0.73,46,35,24,4,4.4,97
8, GeorgiaInstituteofTechnology,105,206,206,0.64,64,46,25,2.4,4.3,29
8, UniversityofWashington,73,275,260,0.7,48,37,26,4.5,4.3,160
10, ColumbiaUniversity,52,287,300,0.72,39,34,18,4.1,4.2,18
10, UniversityofCaliforniaLosAngeles,43,333,344,0.75,30,27,16,4.1,4.2,95
10, UniversityofIllinoisUrbanaChampaign,76,228,224,0.67,53,36,14,4.6,4.2,115
10, UniversityofPennsylvania,63,252,250,0.7,46,37,17,3.8,4.2,144
14, NewYorkUniversity,43,300,315,0.74,31,24,14,3.4,4.1,54
14, UniversityofMichiganAnnArbor,69,256,248,0.7,44,31,15,4.2,4.1,128
16, JohnsHopkinsUniversity,31,341,334,0.73,18,15,11,3.6,3.9,37
16, UniversityofWisconsinMadison,48,297,279,0.74,25,18,9,4.1,3.9,161
18, DukeUniversity,52,199,219,0.66,30,24,12,3.6,3.8,23
18, HarvardUniversity,31,268,259,0.71,23,18,11,4,3.8,32
18, UniversityofMarylandCollegePark,60,200,196,0.65,35,27,9,4,3.8,123
21, BrownUniversity,31,276,276,0.71,17,12,7,3.6,3.7,8
21, UniversityofTexasAustin,48,210,214,0.64,25,20,10,4.3,3.7,153
21, YaleUniversity,26,344,255,0.7,16,14,10,3.7,3.7,175
24, NortheasternUniversity,66,142,169,0.57,38,22,11,3,3.6,58
24, PennsylvaniaStateUniversityUniversityPark,43,240,199,0.64,22,16,5,3.4,3.6,67
24, UniversityofCaliforniaSantaBarbara,36,268,261,0.72,19,12,8,3.3,3.6,98
24, UniversityofMinnesotaTwinCities,45,172,236,0.65,29,15,10,3.5,3.6,129
28, CaliforniaInstituteofTechnology,21,257,284,0.7,12,10,7,4.2,3.5,10
28, UniversityofChicago,46,183,218,0.63,20,13,6,3.4,3.5,101
28, UniversityofMassachusettsAmherst,59,154,176,0.59,31,18,11,3.7,3.5,124
28, UniversityofSouthernCalifornia,41,253,204,0.63,18,13,8,3.7,3.5,149
32, PurdueUniversityWestLafayette,66,141,149,0.56,28,15,5,3.7,3.4,70
32, UniversityofCaliforniaDavis,37,170,149,0.55,23,17,5,3.3,3.4,93
32, UniversityofCaliforniaIrvine,52,181,151,0.57,23,17,7,3.4,3.4,94
35, BostonUniversity,34,172,193,0.61,19,11,7,3,3.3,5
35, RiceUniversity,25,214,208,0.65,12,9,3,3.7,3.3,72
35, RutgersTheStateUniversityofNewJerseyNewBrunswick,43,200,187,0.62,16,11,5,3.3,3.3,73
35, StonyBrookUniversitySUNY,44,155,150,0.55,24,10,4,3.2,3.3,77
35, UniversityofVirginia,55,192,140,0.56,18,12,3,3.4,3.3,159
40, ArizonaStateUniversity,55,146,145,0.51,18,13,4,3.1,3.2,2
40, MichiganStateUniversity,36,141,183,0.59,17,9,4,2.9,3.2,45
40, UniversityofArizona,22,180,165,0.58,14,9,4,3.1,3.2,89
40, UniversityofCaliforniaRiverside,35,173,149,0.57,17,11,4,2.7,3.2,96
